id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150678,2025-06-18 10:23:02.547062,2025-06-18 10:23:02.547069,机构专用,20250617,机构专用,002235.SZ,安妮股份,69509169.0,51771366.0,17737803.0,
150679,2025-06-18 10:23:02.547129,2025-06-18 10:23:02.547137,机构专用,20250617,机构专用,002554.SZ,惠博普,19196670.0,14979940.0,4216730.0,
150680,2025-06-18 10:23:02.547201,2025-06-18 10:23:02.547209,机构专用,20250617,机构专用,002951.SZ,金时科技,0.0,10416229.0,-10416229.0,
150681,2025-06-18 10:23:02.547270,2025-06-18 10:23:02.547277,机构专用,20250617,机构专用,600792.SH,云煤能源,7961362.37,10108459.0,-2147096.63,
150682,2025-06-18 10:23:02.547337,2025-06-18 10:23:02.547345,机构专用,20250617,机构专用,603538.SH,美诺华,0.0,14228977.79,-14228977.79,
150683,2025-06-18 10:23:02.547405,2025-06-18 10:23:02.547412,机构专用,20250617,机构专用,002177.SZ,御银股份,186419846.0,194330223.0,-7910377.0,
150684,2025-06-18 10:23:02.547472,2025-06-18 10:23:02.547480,机构专用,20250617,机构专用,301141.SZ,中科磁业,13396286.0,42582645.0,-29186359.0,
150685,2025-06-18 10:23:02.547540,2025-06-18 10:23:02.547547,机构专用,20250617,机构专用,301357.SZ,北方长龙,48759350.0,20717995.0,28041355.0,
150686,2025-06-18 10:23:02.547607,2025-06-18 10:23:02.547614,机构专用,20250617,机构专用,301665.SZ,泰禾股份,14728494.0,36327080.0,-21598586.0,
150687,2025-06-18 10:23:02.547679,2025-06-18 10:23:02.547687,机构专用,20250617,机构专用,603716.SH,塞力医疗,14609154.0,0.0,14609154.0,
150688,2025-06-18 10:23:02.547747,2025-06-18 10:23:02.547755,机构专用,20250617,机构专用,836221.BJ,易实精密,2142301.94,6157754.87,-4015452.93,
150689,2025-06-18 10:23:02.547815,2025-06-18 10:23:02.547823,机构专用,20250617,机构专用,839719.BJ,宁新新材,5534517.98,4060465.07,1474052.91,
150690,2025-06-18 10:23:02.547882,2025-06-18 10:23:02.547890,机构专用,20250617,机构专用,920082.BJ,方正阀门,939564.31,5099123.41,-4159559.1,
150691,2025-06-18 10:23:02.547951,2025-06-18 10:23:02.547958,机构专用,20250617,机构专用,002678.SZ,珠江钢琴,14503104.0,0.0,14503104.0,
150692,2025-06-18 10:23:02.548018,2025-06-18 10:23:02.548026,机构专用,20250617,机构专用,603585.SH,苏利股份,0.0,18753400.0,-18753400.0,
150693,2025-06-18 10:23:02.548086,2025-06-18 10:23:02.548094,机构专用,20250617,机构专用,002181.SZ,粤 传 媒,26061428.0,44926938.0,-18865510.0,
150694,2025-06-18 10:23:02.548153,2025-06-18 10:23:02.548161,机构专用,20250617,机构专用,300016.SZ,北陆药业,12439114.0,10629735.0,1809379.0,
150695,2025-06-18 10:23:02.548221,2025-06-18 10:23:02.548228,机构专用,20250617,机构专用,300157.SZ,新锦动力,47950812.0,26891797.0,21059015.0,
150696,2025-06-18 10:23:02.548288,2025-06-18 10:23:02.548296,机构专用,20250617,机构专用,300457.SZ,赢合科技,52931059.0,5462648.0,47468411.0,
150697,2025-06-18 10:23:02.548356,2025-06-18 10:23:02.548364,机构专用,20250617,机构专用,300753.SZ,爱朋医疗,0.0,8267321.0,-8267321.0,
150698,2025-06-18 10:23:02.548423,2025-06-18 10:23:02.548431,机构专用,20250617,机构专用,300941.SZ,创识科技,45922955.0,24071918.0,21851037.0,
150699,2025-06-18 10:23:02.548491,2025-06-18 10:23:02.548498,机构专用,20250617,机构专用,300164.SZ,通源石油,88417666.0,47316959.0,41100707.0,
150700,2025-06-18 10:23:02.548558,2025-06-18 10:23:02.548566,机构专用,20250617,机构专用,300546.SZ,雄帝科技,6612747.0,21886169.0,-15273422.0,
150701,2025-06-18 10:23:02.548626,2025-06-18 10:23:02.548633,机构专用,20250617,机构专用,688291.SH,金橙子,25740032.73,0.0,25740032.73,
150702,2025-06-18 10:23:02.548696,2025-06-18 10:23:02.548704,机构专用,20250617,机构专用,688573.SH,信宇人,10177856.2,0.0,10177856.2,
150703,2025-06-18 10:23:02.548764,2025-06-18 10:23:02.548772,机构专用,20250617,机构专用,300468.SZ,四方精创,168664919.0,83696763.0,84968156.0,
150704,2025-06-18 10:23:02.548832,2025-06-18 10:23:02.548840,机构专用,20250617,机构专用,300581.SZ,晨曦航空,189210810.0,160782475.0,28428335.0,
150705,2025-06-18 10:23:02.548900,2025-06-18 10:23:02.548907,机构专用,20250617,机构专用,002141.SZ,*ST贤丰,14674371.0,12643909.0,2030462.0,
